from,to
1,20
1,6
1,47
1,53
1,2
1,18
1,54
1,12
1,14
1,17
1,9
1,8
1,33
1,26
1,11
1,5
1,32
1,4
1,3
1,7
1,63
1,25
1,23
1,61
1,27
1,28
1,24
1,49
1,10
1,58
1,59
1,44
1,45
1,15
1,31
1,22
1,64
1,68
1,19
1,36
1,30
1,13
1,67
1,21
1,16
2,18
2,10
2,25
2,54
2,20
2,6
2,5
2,4
2,13
2,32
2,40
2,27
2,23
2,14
2,19
2,9
2,28
2,11
2,12
2,33
2,68
2,64
2,8
2,3
2,56
2,24
2,44
2,36
2,61
2,58
2,7
2,15
2,16
2,26
2,49
2,17
2,46
2,22
2,29
3,15
3,24
3,7
3,4
3,10
3,12
3,8
3,31
3,9
3,29
3,44
3,56
3,5
3,63
3,46
3,64
3,62
3,45
3,16
3,25
3,67
3,6
3,72
3,73
3,52
3,19
3,32
3,11
3,68
4,16
4,10
4,26
4,41
4,7
4,15
4,5
4,31
4,9
4,63
4,24
4,64
4,6
4,23
4,33
4,25
4,67
4,18
4,12
4,13
4,38
4,68
4,35
4,22
4,70
4,49
4,8
4,45
4,19
4,20
6,51
6,64
6,22
6,38
6,70
6,20
6,13
6,52
6,16
6,49
6,19
6,15
6,71
6,10
6,24
6,34
6,32
6,37
6,39
6,41
6,14
6,23
6,5
6,26
6,8
6,12
6,17
6,53
6,25
6,11
6,9
7,56
7,10
7,5
7,8
7,24
7,29
7,45
7,31
7,63
7,16
7,19
7,67
7,68
7,9
7,15
5,10
5,49
5,24
5,15
5,16
5,45
5,67
5,68
5,19
5,63
5,41
5,9
5,26
5,12
5,8
5,17
5,11
5,13
9,63
9,17
9,8
9,45
9,15
9,32
9,59
9,49
9,19
9,12
9,14
9,33
9,26
9,41
9,55
9,16
9,13
9,25
9,20
9,10
10,44
10,24
10,56
10,15
10,29
10,8
10,11
10,64
10,62
10,45
10,48
10,17
10,52
10,31
13,25
13,14
13,12
13,23
13,17
13,53
13,26
13,20
13,11
13,31
13,52
13,8
13,41
13,39
13,32
8,37
8,25
8,16
8,48
8,39
8,35
8,14
8,43
8,21
8,11
8,49
8,34
8,26
8,41
8,17
8,20
14,26
14,18
14,12
14,23
14,25
14,20
14,15
14,21
14,32
14,24
14,11
14,35
14,17
14,31
14,19
12,61
12,20
12,25
12,16
12,32
12,65
12,50
12,31
12,29
12,17
12,18
12,21
12,19
12,26
12,24
12,23
17,31
17,32
17,20
17,15
17,29
17,35
17,43
17,25
17,26
17,41
17,37
17,48
17,16
17,39
17,11
17,34
16,32
16,33
16,41
16,55
16,43
16,26
16,20
16,21
16,18
16,48
16,67
16,65
16,68
16,45
16,59
16,50
11,24
11,19
11,26
11,57
11,60
11,61
11,43
15,56
15,21
15,24
15,32
15,63
15,31
15,19
15,29
15,18
15,69
15,43
15,35
18,43
18,19
18,23
18,24
18,31
18,21
18,25
18,54
24,29
24,64
24,19
24,21
24,26
24,44
24,31
24,56
20,53
20,25
20,33
20,26
20,32
20,55
20,35
20,43
20,50
19,31
19,27
19,25
19,21
26,32
26,39
26,34
26,25
26,41
22,36
22,70
22,51
22,71
22,38
22,27
22,49
22,28
21,25
21,35
21,31
21,43
25,32
25,64
25,23
23,42
23,34
27,36
27,28
28,36
33,41
33,35
33,43
33,32
33,55
29,56
29,34
29,31
29,32
29,50
32,46
31,50
31,34
34,57
34,37
34,42
41,39
41,55
38,70
38,51
38,71
38,52
36,42
68,67
35,43
43,55
44,37
51,71
51,52
71,52
61,60
73,72
